Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2021-01-04,0.92,Packed,3.0,237
2021-01-03,0.59,Busy,4.0,241
2021-01-03,0.59,Busy,3.0,241
2021-01-03,0.59,Busy,2.0,241
2021-01-03,0.59,Busy,5.0,241
2021-01-03,0.59,Busy,3.0,241
2021-01-03,0.59,Busy,3.0,241
2021-01-02,0.87,Packed,5.0,247
2021-01-02,0.87,Packed,4.0,247
2021-01-02,0.87,Packed,2.0,247
2021-01-01,0.87,Packed,2.0,250
2021-01-01,0.87,Packed,4.0,250
2021-01-01,0.87,Packed,4.0,250
2021-01-01,0.87,Packed,1.0,250
2020-12-31,0.91,Packed,5.0,254
2020-12-30,0.95,Packed,1.0,255
2020-12-30,0.95,Packed,1.0,255
2020-12-30,0.95,Packed,3.0,255
2020-12-30,0.95,Packed,1.0,255
2020-12-30,0.95,Packed,5.0,255
2020-12-30,0.95,Packed,1.0,255
2020-12-30,0.95,Packed,5.0,255
2020-12-29,0.95,Packed,3.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,5.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-29,0.95,Packed,1.0,262
2020-12-28,0.97,Packed,4.0,272
2020-12-28,0.97,Packed,1.0,272
2020-12-28,0.97,Packed,2.0,272
2020-12-27,0.93,Packed,1.0,275
2020-12-22,0.96,Packed,2.0,276
2020-12-22,0.96,Packed,5.0,276
2020-12-22,0.96,Packed,1.0,276
2020-12-22,0.96,Packed,1.0,276
2020-12-21,0.99,Packed,1.0,280
2020-12-21,0.99,Packed,5.0,280
2020-12-19,0.96,Packed,5.0,282
2020-12-19,0.96,Packed,3.0,282
2020-12-15,0.76,Packed,5.0,284
2020-12-13,0.95,Packed,5.0,285
2020-12-13,0.95,Packed,3.0,285
2020-12-12,0.94,Packed,5.0,287
2020-12-10,0.76,Packed,4.0,288
2020-12-10,0.76,Packed,5.0,288
2020-12-08,0.81,Packed,4.0,290
2020-12-08,0.81,Packed,5.0,290
2020-12-06,0.85,Packed,4.0,292
2020-12-05,0.96,Packed,5.0,293
2020-12-04,0.59,Busy,3.0,294
2020-12-04,0.59,Busy,1.0,294
2020-12-03,0.43,Quiet,5.0,296
2020-12-02,0.42,Quiet,5.0,297
2020-12-01,0.5,Busy,2.0,298
2020-11-30,0.28,Quiet,1.0,299
2020-11-28,0.91,Packed,1.0,300
2020-11-27,0.92,Packed,2.0,301
2020-11-25,0.9,Packed,5.0,302
2020-11-24,0.93,Packed,1.0,303
2020-11-24,0.93,Packed,1.0,303
2020-11-24,0.93,Packed,1.0,303
2020-11-21,0.9,Packed,4.0,306
2020-11-19,0.33,Quiet,5.0,307
2020-11-17,0.51,Busy,3.0,308
2020-11-17,0.51,Busy,5.0,308
2020-11-15,0.45,Quiet,5.0,310
